----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets | 0.92674578 | 1899.18836364 | 395 | 16 | 11368 | 10984 | 0 | 5229 | bnb: **5743** ; knapsack: **12** ; Total: **5755** | 0.00050001 | 0.09431312 | 0.00346100873207 | 0.00654501263152 | 0.78605018 | 0.0000715631991988 | 0.00268600000 | 0.78873618000 | 1 | 7 | 1.03495994173 | 0.274002604274 | 59 | 2.06327385288 | 5.06399926556 | knapsack: **851** ; bnb: **5743** ; cg: **4378** ; srd: **12** |
| bustabit-2019-2020-tiny-utxotargets | 0.63989658 | 1835.04730435 | 450 | 16 | 11891 | 11484 | 0 | 5493 | bnb: **5979** ; knapsack: **12** ; Total: **5991** | 0.00050001 | 0.09431312 | 0.00338960961587 | 0.00647365451254 | 0.81694587 | 0.0000711377455590 | 0.00306000000 | 0.82000587000 | 1 | 7 | 1.03544061303 | 0.271522115827 | 59 | 2.06391501219 | 4.96895426836 | knapsack: **869** ; bnb: **5979** ; cg: **4624** ; srd: **12** |
| bustabit-2019-2020-tiny-utxotargets | 0.66259553 | 1770.89366667 | 200 | 16 | 12406 | 11984 | 0 | 5798 | bnb: **6174** ; knapsack: **12** ; Total: **6186** | 0.00050001 | 0.09431312 | 0.00335307131425 | 0.00636015782524 | 0.85519188 | 0.0000713611381842 | 0.00136000000 | 0.85655188000 | 1 | 7 | 1.03521361816 | 0.270243932008 | 59 | 2.04989986649 | 4.86853078406 | knapsack: **872** ; bnb: **6174** ; cg: **4926** ; srd: **12** |
| bustabit-2019-2020-tiny-utxotargets | 0.48016891 | 1716.06040000 | 496 | 17 | 12915 | 12483 | 0 | 6072 | bnb: **6398** ; knapsack: **13** ; Total: **6411** | 0.00050001 | 0.09431312 | 0.00330516636199 | 0.00638995951175 | 0.89716881 | 0.0000718712496996 | 0.00337280000 | 0.90054161000 | 1 | 7 | 1.03460706561 | 0.267482723747 | 59 | 2.06376672274 | 4.80031679315 | knapsack: **886** ; bnb: **6398** ; cg: **5186** ; srd: **13** |
| bustabit-2019-2020-tiny-utxotargets | 2.77676720 | 1662.39984615 | 362 | 17 | 13581 | 12983 | 0 | 6344 | bnb: **6624** ; knapsack: **15** ; Total: **6639** | 0.00050001 | 0.09431312 | 0.00324019843001 | 0.00627358333825 | 0.93786387 | 0.0000722378394824 | 0.00246160000 | 0.94032547000 | 1 | 31 | 1.04606023261 | 0.472837615506 | 59 | 2.06439189710 | 4.74019326248 | knapsack: **925** ; bnb: **6624** ; cg: **5419** ; srd: **15** |
| bustabit-2019-2020-tiny-utxotargets | 2.46371136 | 1618.94288889 | 593 | 17 | 14081 | 13483 | 0 | 6539 | bnb: **6929** ; knapsack: **15** ; Total: **6944** | 0.00050001 | 0.09431312 | 0.00329050254779 | 0.00651255952347 | 0.97707005 | 0.0000724668137655 | 0.00403240000 | 0.98110245000 | 1 | 31 | 1.04435214715 | 0.464068472586 | 59 | 2.07453830750 | 4.69593221155 | knapsack: **953** ; bnb: **6929** ; cg: **5586** ; srd: **15** |
| bustabit-2019-2020-tiny-utxotargets | 2.12999595 | 1577.07878571 | 329 | 17 | 14593 | 13983 | 0 | 6780 | bnb: **7188** ; knapsack: **15** ; Total: **7203** | 0.00050001 | 0.09431312 | 0.00337602192625 | 0.00678925740724 | 1.01878971 | 0.0000728591654151 | 0.00223720000 | 1.02102691000 | 1 | 31 | 1.04362440106 | 0.456629131971 | 59 | 2.05742687549 | 4.61423362274 | knapsack: **962** ; bnb: **7188** ; cg: **5818** ; srd: **15** |
| bustabit-2019-2020-tiny-utxotargets | 1.78064921 | 1533.19848276 | 315 | 17 | 15095 | 14483 | 0 | 7129 | bnb: **7339** ; knapsack: **15** ; Total: **7354** | 0.00050001 | 0.09431312 | 0.00329816426006 | 0.00668009423613 | 1.05135397 | 0.0000725922785335 | 0.00214200000 | 1.05349597000 | 1 | 31 | 1.04225643858 | 0.449042549661 | 59 | 2.05164675827 | 4.53744542760 | knapsack: **972** ; bnb: **7339** ; cg: **6157** ; srd: **15** |
| bustabit-2019-2020-tiny-utxotargets | 2.48532834 | 1491.16233333 | 589 | 17 | 15605 | 14983 | 0 | 7468 | bnb: **7499** ; knapsack: **16** ; Total: **7515** | 0.00050001 | 0.09431312 | 0.00325983186127 | 0.00669558623188 | 1.08681386 | 0.0000725364653274 | 0.00400520000 | 1.09081906000 | 1 | 31 | 1.04151371554 | 0.442847492120 | 59 | 2.07468464259 | 4.49516143172 | knapsack: **989** ; bnb: **7499** ; cg: **6479** ; srd: **16** |
----END SIMULATION RESULTS----


