----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets | 2.52150990 | 237.004000000 | 157 | 7 | 5430 | 4992 | 0 | 2020 | bnb: **2963** ; knapsack: **9** ; Total: **2972** | 0.00002521 | 0.49986182 | 0.0420926342475 | 0.117441828776 | 0.32895528 | 0.0000658964903846 | 0.00106760000 | 0.33002288000 | 1 | 6 | 1.08774038462 | 0.422178593589 | 2 | 1.40464743590 | 0.490872852152 | bnb: **2963** ; cg: **1710** ; knapsack: **314** ; srd: **1** ; manual: **4** |
| bustabit-2019-2020-tiny-utxotargets | 2.28789408 | 237.625090909 | 187 | 7 | 5963 | 5492 | 0 | 2253 | bnb: **3230** ; knapsack: **9** ; Total: **3239** | 0.00002521 | 0.49986182 | 0.0409819467776 | 0.115201017676 | 0.36142098 | 0.0000658086270940 | 0.00127160000 | 0.36269258000 | 1 | 6 | 1.08576110706 | 0.417388948842 | 2 | 1.41023306628 | 0.491920683796 | bnb: **3230** ; cg: **1909** ; knapsack: **348** ; srd: **1** ; manual: **4** |
| bustabit-2019-2020-tiny-utxotargets | 2.71629235 | 237.789000000 | 164 | 9 | 6482 | 5990 | 0 | 2451 | bnb: **3530** ; knapsack: **9** ; Total: **3539** | 0.00002521 | 0.49986182 | 0.0392994549694 | 0.112324355821 | 0.40370422 | 0.0000673963639399 | 0.00111520000 | 0.40481942000 | 1 | 6 | 1.08213689482 | 0.406900868195 | 2 | 1.40918196995 | 0.491723958575 | bnb: **3530** ; cg: **2089** ; knapsack: **366** ; srd: **1** ; manual: **4** |
| bustabit-2019-2020-tiny-utxotargets | 3.87817288 | 238.140307692 | 173 | 9 | 7014 | 6490 | 0 | 2694 | bnb: **3787** ; knapsack: **9** ; Total: **3796** | 0.00002521 | 0.49986182 | 0.0397944195954 | 0.113049441844 | 0.43613921 | 0.0000672017272727 | 0.00117640000 | 0.43731561000 | 1 | 6 | 1.08073959938 | 0.400664506200 | 2 | 1.41510015408 | 0.492777264188 | bnb: **3787** ; cg: **2304** ; knapsack: **394** ; srd: **1** ; manual: **4** |
| bustabit-2019-2020-tiny-utxotargets | 1.56883872 | 238.159142857 | 207 | 11 | 7555 | 6988 | 0 | 2948 | bnb: **4030** ; knapsack: **10** ; Total: **4040** | 0.00002521 | 0.49986182 | 0.0415646818758 | 0.116019143195 | 0.46149155 | 0.0000660405767029 | 0.00140760000 | 0.46289915000 | 1 | 6 | 1.08113909559 | 0.404460979168 | 2 | 1.42186605610 | 0.493892694613 | bnb: **4030** ; cg: **2517** ; knapsack: **435** ; srd: **1** ; manual: **5** |
| bustabit-2019-2020-tiny-utxotargets | 4.61820720 | 237.490666667 | 144 | 13 | 8073 | 7486 | 0 | 3122 | bnb: **4354** ; knapsack: **10** ; Total: **4364** | 0.00002521 | 0.49986182 | 0.0406116123607 | 0.114670927281 | 0.50466084 | 0.0000674139513759 | 0.000979200000 | 0.505640040000 | 1 | 6 | 1.07841303767 | 0.399226296968 | 2 | 1.41704515095 | 0.493103410837 | bnb: **4354** ; cg: **2673** ; knapsack: **450** ; srd: **1** ; manual: **8** |
| bustabit-2019-2020-tiny-utxotargets | 3.86270973 | 238.444500000 | 200 | 14 | 8594 | 7985 | 0 | 3381 | bnb: **4594** ; knapsack: **10** ; Total: **4604** | 0.00002521 | 0.49986182 | 0.0406954569388 | 0.114620973759 | 0.53888346 | 0.0000674869705698 | 0.00136000000 | 0.54024346000 | 1 | 6 | 1.07626800250 | 0.392909473056 | 2 | 1.42341891046 | 0.494131475215 | bnb: **4594** ; cg: **2906** ; knapsack: **476** ; srd: **1** ; manual: **8** |
| bustabit-2019-2020-tiny-utxotargets | 3.23248124 | 238.913529412 | 202 | 14 | 9123 | 8485 | 0 | 3645 | bnb: **4829** ; knapsack: **11** ; Total: **4840** | 0.00002521 | 0.49986182 | 0.0398392226694 | 0.113185009339 | 0.56186927 | 0.0000662191243371 | 0.00137360000 | 0.56324287000 | 1 | 6 | 1.07519151444 | 0.388123396103 | 2 | 1.42958161461 | 0.495045587547 | bnb: **4829** ; cg: **3146** ; knapsack: **501** ; srd: **1** ; manual: **8** |
| bustabit-2019-2020-tiny-utxotargets | 3.85876031 | 238.889000000 | 177 | 15 | 9653 | 8984 | 0 | 3792 | bnb: **5180** ; knapsack: **12** ; Total: **5192** | 0.00002521 | 0.49986182 | 0.0394723248681 | 0.112346683821 | 0.60452384 | 0.0000672889403384 | 0.00120360000 | 0.60572744000 | 1 | 6 | 1.07446571683 | 0.384664047470 | 2 | 1.42208370436 | 0.493919229626 | bnb: **5180** ; cg: **3287** ; knapsack: **508** ; srd: **1** ; manual: **8** |
| bustabit-2019-2020-tiny-utxotargets | 3.23351736 | 239.109473684 | 179 | 15 | 10197 | 9484 | 0 | 3990 | bnb: **5481** ; knapsack: **13** ; Total: **5494** | 0.00002521 | 0.49986182 | 0.0395305499925 | 0.112332435427 | 0.63816094 | 0.0000672881632223 | 0.00121720000 | 0.63937814000 | 1 | 6 | 1.07517924926 | 0.386063938866 | 2 | 1.42070856179 | 0.493698863480 | bnb: **5481** ; cg: **3460** ; knapsack: **534** ; srd: **1** ; manual: **8** |
| bustabit-2019-2020-tiny-utxotargets | 3.58996521 | 239.412400000 | 205 | 15 | 10733 | 9984 | 0 | 4203 | bnb: **5766** ; knapsack: **15** ; Total: **5781** | 0.00002521 | 0.49986182 | 0.0393598281109 | 0.111824241666 | 0.66289411 | 0.0000663956440304 | 0.00139400000 | 0.66428811000 | 1 | 6 | 1.07502003205 | 0.386179399111 | 2 | 1.42097355769 | 0.493740051451 | bnb: **5766** ; cg: **3635** ; knapsack: **574** ; srd: **1** ; manual: **8** |
| bustabit-2019-2020-tiny-utxotargets | 2.42260286 | 239.125809524 | 196 | 15 | 11243 | 10484 | 0 | 4363 | bnb: **6106** ; knapsack: **15** ; Total: **6121** | 0.00002521 | 0.49986182 | 0.0390401760944 | 0.111096307878 | 0.70229663 | 0.0000669874694773 | 0.00133280000 | 0.70362943000 | 1 | 6 | 1.07239603205 | 0.379536085436 | 2 | 1.41615795498 | 0.492943900521 | bnb: **6106** ; cg: **3786** ; knapsack: **582** ; srd: **1** ; manual: **9** |
| bustabit-2019-2020-tiny-utxotargets | 2.10010874 | 239.208090909 | 200 | 16 | 11764 | 10983 | 0 | 4596 | bnb: **6372** ; knapsack: **15** ; Total: **6387** | 0.00001509 | 0.49986182 | 0.0390173250870 | 0.110887101856 | 0.73598490 | 0.0000670112810707 | 0.00136000000 | 0.73734490000 | 1 | 6 | 1.07110989711 | 0.375378540243 | 2 | 1.41846490030 | 0.493329693703 | bnb: **6372** ; cg: **3991** ; knapsack: **610** ; srd: **1** ; manual: **9** |
