----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny | 0E-8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny | 370.07367612 | 1908.38409091 | 3355 | 7562 | 7927 | 3433 | 1 | 1603 | bnb: **1820** ; knapsack: **10** ; Total: **1830** | 0.00010387 | 8.99990421 | 0.0754848471803 | 0.475569178001 | 0.29445501 | 0.0000857719225167 | 0.0228140000 | 0.3172690100 | 1 | 184 | 2.30905913195 | 4.99525089906 | 103 | 2.08360034955 | 4.42099141848 | knapsack: **241** ; srd: **153** ; bnb: **1820** ; cg: **1219** |
| bustabit-2019-2020-tiny | 382.36832761 | 1975.05139130 | 3529 | 7902 | 8233 | 3593 | 1 | 1689 | bnb: **1894** ; knapsack: **10** ; Total: **1904** | 0.00010387 | 8.99990421 | 0.0749690035761 | 0.467187024250 | 0.30477220 | 0.0000848238797662 | 0.0239972000 | 0.3287694000 | 1 | 184 | 2.29139994434 | 4.89784008399 | 103 | 2.07431116059 | 4.33947665114 | knapsack: **252** ; srd: **170** ; bnb: **1894** ; cg: **1277** |
| bustabit-2019-2020-tiny | 370.72434271 | 2043.88583333 | 3672 | 8232 | 8527 | 3763 | 1 | 1780 | bnb: **1973** ; knapsack: **10** ; Total: **1983** | 0.00010387 | 8.99990421 | 0.0721916737191 | 0.455509944547 | 0.32013249 | 0.0000850737416955 | 0.0249696000 | 0.3451020900 | 1 | 184 | 2.26601116131 | 4.79502008937 | 103 | 2.05421206484 | 4.24492506641 | knapsack: **262** ; srd: **175** ; bnb: **1973** ; cg: **1353** |
| bustabit-2019-2020-tiny | 387.49388430 | 2113.08080000 | 3857 | 8569 | 8806 | 3926 | 1 | 1871 | bnb: **2044** ; knapsack: **11** ; Total: **2055** | 0.00010387 | 8.99990421 | 0.0704043660021 | 0.445188796138 | 0.33275494 | 0.0000847567345899 | 0.0262276000 | 0.3589825400 | 1 | 184 | 2.24299541518 | 4.70852817210 | 103 | 2.04279164544 | 4.17089738175 | knapsack: **281** ; srd: **188** ; bnb: **2044** ; cg: **1413** |
| bustabit-2019-2020-tiny | 396.77379273 | 2182.87823077 | 3984 | 8898 | 9127 | 4097 | 1 | 1960 | bnb: **2126** ; knapsack: **11** ; Total: **2137** | 0.00010355 | 8.99990421 | 0.0685425409031 | 0.435749415910 | 0.34608694 | 0.0000844732584818 | 0.0270912000 | 0.3731781400 | 1 | 184 | 2.22772760557 | 4.61856948818 | 103 | 2.02831340005 | 4.09150450240 | knapsack: **295** ; srd: **200** ; bnb: **2126** ; cg: **1476** |
| bustabit-2019-2020-tiny | 390.48836024 | 2250.22651852 | 4022 | 9186 | 9509 | 4309 | 1 | 2066 | bnb: **2232** ; knapsack: **11** ; Total: **2243** | 0.00010355 | 8.99990421 | 0.0674180254405 | 0.426011569858 | 0.36068162 | 0.0000837042515665 | 0.0273496000 | 0.3880312200 | 1 | 184 | 2.20677651427 | 4.53201656262 | 103 | 2.00835460664 | 3.99691440977 | knapsack: **310** ; srd: **219** ; bnb: **2232** ; cg: **1548** |
| bustabit-2019-2020-tiny | 391.09309693 | 2316.46507143 | 4191 | 9481 | 9797 | 4514 | 1 | 2180 | bnb: **2322** ; knapsack: **12** ; Total: **2334** | 0.00010355 | 8.99990421 | 0.0654604514312 | 0.416706202363 | 0.38076813 | 0.0000843527093487 | 0.0284988000 | 0.4092669300 | 1 | 184 | 2.17035888347 | 4.43427003285 | 103 | 1.99844926894 | 3.92661999591 | knapsack: **323** ; srd: **226** ; bnb: **2322** ; cg: **1643** |
| bustabit-2019-2020-tiny | 388.87470821 | 2382.81172414 | 4323 | 9785 | 10116 | 4710 | 1 | 2287 | bnb: **2411** ; knapsack: **12** ; Total: **2423** | 0.00010355 | 8.99990421 | 0.0641513178050 | 0.408224925379 | 0.39492231 | 0.0000838476242038 | 0.0293964000 | 0.4243187100 | 1 | 184 | 2.14777070064 | 4.34611963855 | 103 | 1.98811040340 | 3.86102088919 | knapsack: **339** ; srd: **238** ; bnb: **2411** ; cg: **1722** |
| bustabit-2019-2020-tiny | 385.77107228 | 2448.16673333 | 4305 | 10050 | 10573 | 4945 | 1 | 2427 | bnb: **2506** ; knapsack: **12** ; Total: **2518** | 0.00010355 | 8.99990421 | 0.0623273555830 | 0.398177162125 | 0.41041759 | 0.0000829964792720 | 0.0292740000 | 0.4396915900 | 1 | 184 | 2.13811931244 | 4.27438427665 | 103 | 1.97633973711 | 3.77626272172 | knapsack: **370** ; srd: **262** ; bnb: **2506** ; cg: **1807** |
----END SIMULATION RESULTS----


