----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny-utxotargets | 2.36183327 | 230.108090909 | 159 | 16 | 11662 | 10983 | 0 | 3832 | bnb: **7151** ; Total: **7151** | 0.00001178 | 0.49495414 | 0.00820469804280 | 0.0463453717123 | 0.86174722 | 0.0000784619156879 | 0.00108120000 | 0.86282842000 | 1 | 5 | 1.06182281708 | 0.308771528454 | 106 | 2.06009287080 | 4.10462712352 | bnb: **7151** ; manual: **24** ; cg: **3241** ; knapsack: **558** ; srd: **9** |
| bustabit-2019-2020-tiny-utxotargets | 2.19993589 | 230.280869565 | 197 | 16 | 12190 | 11483 | 0 | 4043 | bnb: **7440** ; Total: **7440** | 0.00001178 | 0.49495414 | 0.00825734729162 | 0.0466431840679 | 0.89365692 | 0.0000778243420709 | 0.00133960000 | 0.89499652000 | 1 | 5 | 1.06156927632 | 0.307468228468 | 106 | 2.05895671863 | 4.06105517822 | bnb: **7440** ; manual: **24** ; cg: **3427** ; knapsack: **583** ; srd: **9** |
| bustabit-2019-2020-tiny-utxotargets | 1.84575028 | 229.922416667 | 184 | 16 | 12704 | 11983 | 0 | 4194 | bnb: **7789** ; Total: **7789** | 0.00001178 | 0.49495414 | 0.00825746927277 | 0.0464759304859 | 0.93572296 | 0.0000780875373446 | 0.00125120000 | 0.93697416000 | 1 | 5 | 1.06016857214 | 0.304588300289 | 106 | 2.05849954102 | 4.08661023669 | bnb: **7789** ; manual: **26** ; cg: **3551** ; knapsack: **608** ; srd: **9** |
| bustabit-2019-2020-tiny-utxotargets | 2.66289134 | 229.877360000 | 176 | 17 | 13231 | 12482 | 0 | 4356 | bnb: **8126** ; Total: **8126** | 0.00001178 | 0.49495414 | 0.00812554867539 | 0.0459343169113 | 0.98335110 | 0.0000787815334081 | 0.00119680000 | 0.98454790000 | 1 | 5 | 1.06000640923 | 0.304080520097 | 106 | 2.05632110239 | 4.09864939584 | bnb: **8126** ; manual: **27** ; cg: **3700** ; knapsack: **620** ; srd: **9** |
| bustabit-2019-2020-tiny-utxotargets | 0.61078183 | 230.184153846 | 167 | 17 | 13759 | 12982 | 0 | 4561 | bnb: **8421** ; Total: **8421** | 0.00001178 | 0.49495414 | 0.00804795698531 | 0.0456467678582 | 1.01992983 | 0.0000785649229703 | 0.00113560000 | 1.02106543000 | 1 | 5 | 1.05985210291 | 0.302837531573 | 106 | 2.05769527037 | 4.05544526942 | bnb: **8421** ; manual: **27** ; cg: **3879** ; knapsack: **646** ; srd: **9** |
| bustabit-2019-2020-tiny-utxotargets | 2.37392586 | 230.201481481 | 192 | 17 | 14297 | 13482 | 0 | 4754 | bnb: **8728** ; Total: **8728** | 0.00001178 | 0.49495414 | 0.00790177933319 | 0.0449477888537 | 1.05899299 | 0.0000785486567275 | 0.00130560000 | 1.06029859000 | 1 | 5 | 1.06045097167 | 0.304472077387 | 106 | 2.05941255007 | 4.04100900371 | bnb: **8728** ; manual: **27** ; cg: **4046** ; knapsack: **672** ; srd: **9** |
| bustabit-2019-2020-tiny-utxotargets | 2.50476370 | 230.254642857 | 175 | 17 | 14825 | 13982 | 0 | 4916 | bnb: **9066** ; Total: **9066** | 0.00001178 | 0.49495414 | 0.00786394533971 | 0.0446918416624 | 1.10931530 | 0.0000793388141897 | 0.00119000000 | 1.11050530000 | 1 | 5 | 1.06029180375 | 0.304012459493 | 106 | 2.05757402374 | 4.04133082441 | bnb: **9066** ; manual: **28** ; cg: **4188** ; knapsack: **691** ; srd: **9** |
| bustabit-2019-2020-tiny-utxotargets | 2.18645950 | 230.463586207 | 188 | 17 | 15348 | 14482 | 0 | 5105 | bnb: **9377** ; Total: **9377** | 0.00001178 | 0.49495414 | 0.00775718091675 | 0.0443800209321 | 1.14566156 | 0.0000791093467753 | 0.00127840000 | 1.14693996000 | 1 | 5 | 1.05979837039 | 0.301941626856 | 106 | 2.05779588455 | 4.01071199499 | bnb: **9377** ; manual: **28** ; cg: **4357** ; knapsack: **711** ; srd: **9** |
| bustabit-2019-2020-tiny-utxotargets | 2.01236991 | 230.417666667 | 198 | 17 | 15890 | 14982 | 0 | 5299 | bnb: **9683** ; Total: **9683** | 0.00001178 | 0.49984771 | 0.00783558743914 | 0.0450452426958 | 1.17926971 | 0.0000787124355894 | 0.00134640000 | 1.18061611000 | 1 | 5 | 1.06060606061 | 0.304053308576 | 106 | 2.05893739154 | 3.99568352545 | bnb: **9683** ; manual: **28** ; cg: **4529** ; knapsack: **733** ; srd: **9** |
----END SIMULATION RESULTS----


