id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste,max_excess,excess
35,0.00010000,0.00004371,0.00028200,0.000283831168831,cg,1,0,2,0.04985629,223,257,3429,,0
36,0.00010000,0.00004387,0.00028300,0.000284870129870,cg,1,0,2,0.04985613,222,257,3439,,0
37,0.00010000,0.00004387,0.00028300,0.000284870129870,cg,1,0,2,0.04985613,221,257,3439,,0
38,0.00010000,0.00004387,0.00028300,0.000284870129870,cg,1,0,2,0.04985613,220,257,3439,,0
39,0.00010000,0.00004387,0.00028300,0.000284870129870,cg,1,0,2,0.04985613,219,257,3439,,0
40,0.00010000,0.00004387,0.00028300,0.000284870129870,cg,1,0,2,0.04985613,218,257,3439,,0
41,0.00010000,0.00004387,0.00028300,0.000284870129870,cg,1,0,2,0.04985613,217,257,3439,,0
42,0.00010000,0.00004387,0.00028300,0.000284870129870,cg,1,0,2,0.04985613,216,257,3439,,0
43,0.00010000,0.00004387,0.00028300,0.000284870129870,cg,1,0,2,0.04985613,215,257,3439,,0
44,0.00010000,0.00004387,0.00028300,0.000284870129870,cg,1,0,2,0.04985613,214,257,3439,,0
45,0.00010000,0.00004387,0.00028300,0.000284870129870,cg,1,0,2,0.04985613,213,257,3439,,0
46,0.00010000,0.00004387,0.00028300,0.000284870129870,cg,1,0,2,0.04985613,212,257,3439,,0
47,0.00010000,0.00004387,0.00028300,0.000284870129870,cg,1,0,2,0.04985613,211,257,3439,,0
48,0.00010000,0.00004108,0.00026500,0.000266753246753,cg,1,0,2,0.04985892,210,257,3257,,0
49,0.00010000,0.00003999,0.00025800,0.000259675324675,cg,1,0,2,0.04986001,209,257,3187,,0
50,0.00010000,0.00003999,0.00025800,0.000259675324675,cg,1,0,2,0.04969801,209,257,3187,,0
51,0.00010000,0.00003999,0.00025800,0.000259675324675,cg,1,0,2,0.04969801,209,257,3187,,0
52,0.00010000,0.00003999,0.00025800,0.000259675324675,cg,1,0,2,0.04969801,210,258,3187,,0
53,0.00010000,0.00003999,0.00025800,0.000259675324675,cg,1,0,2,0.04969801,210,258,3187,,0
54,0.00010000,0.00003999,0.00025800,0.000259675324675,cg,1,0,2,0.04969801,210,258,3187,,0
55,0.00010000,0.00003999,0.00025800,0.000259675324675,cg,1,0,2,0.04969801,210,258,3187,,0
56,0.00010000,0.00003999,0.00025800,0.000259675324675,cg,1,0,2,0.04969801,210,258,3187,,0
57,0.00010000,0.00003999,0.00025800,0.000259675324675,cg,1,0,2,0.04969615,210,258,3187,,0
58,0.00010000,0.00003999,0.00025800,0.000259675324675,cg,1,0,2,0.04969522,210,258,3187,,0
59,0.00010000,0.00003999,0.00025800,0.000259675324675,cg,1,0,2,0.04969522,210,258,3187,,0
60,0.00010000,0.00003999,0.00025800,0.000259675324675,cg,1,0,2,0.04969522,210,258,3187,,0
61,0.00010000,0.00004077,0.00026300,0.000264740259740,cg,1,0,2,0.04969444,210,258,3237,,0
62,0.00010000,0.00004170,0.00026900,0.000270779220779,cg,1,0,2,0.04969335,210,258,3298,,0
63,0.00010000,0.00004170,0.00026900,0.000270779220779,cg,1,0,2,0.04969335,210,258,3298,,0
64,0.00010000,0.00004170,0.00026900,0.000270779220779,cg,1,0,2,0.04969335,210,258,3298,,0
65,0.00010000,0.00004170,0.00026900,0.000270779220779,cg,1,0,2,0.04969335,210,258,3298,,0
66,0.00010000,0.00004123,0.00026600,0.000267727272727,cg,1,0,2,0.04969382,210,258,3267,,0
67,0.00010000,0.00004015,0.00025900,0.000260714285714,cg,1,0,2,0.04969490,210,258,3197,,0
68,0.00010000,0.00004139,0.00026700,0.000268766233766,cg,1,0,2,0.04969366,210,258,3278,,0
69,0.00010000,0.00004185,0.00027000,0.000271753246753,cg,1,0,2,0.04969320,211,259,3307,,0
70,0.00010000,0.00004030,0.00026000,0.000261688311688,cg,1,0,2,0.04969475,211,259,3206,,0
71,0.00010000,0.00003984,0.00025700,0.000258701298701,cg,1,0,2,0.04969506,211,259,3177,,0
72,0.00010000,0.00003798,0.00024500,0.000246623376623,cg,1,0,2,0.04969692,211,259,3055,,0
73,0.00010000,0.00003798,0.00024500,0.000246623376623,cg,1,0,2,0.04969692,211,259,3055,,0
74,0.00010000,0.00004165,0.00024500,0.000246449704142,bnb,2,0,1,,211,257,2842,,0.00001494
75,0.00010000,0.00003860,0.00024900,0.000250649350649,cg,1,0,2,0.04969630,210,257,3096,,0
76,0.00010000,0.00003937,0.00025400,0.000255649350649,cg,1,0,2,0.04969615,209,257,3147,,0
77,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04970963,209,257,3065,,0
78,0.00010000,0.00003829,0.00024700,0.000248636363636,cg,1,0,2,0.04971490,209,257,3076,,0
79,0.00010000,0.00003829,0.00024700,0.000248636363636,cg,1,0,2,0.04971800,209,257,3076,,0
80,0.00010000,0.00003829,0.00024700,0.000248636363636,cg,1,0,2,0.04971800,209,257,3076,,0
81,0.00010000,0.00003829,0.00024700,0.000248636363636,cg,1,0,2,0.04971800,209,257,3076,,0
82,0.00010000,0.00003829,0.00024700,0.000248636363636,cg,1,0,2,0.04971800,209,257,3076,,0
83,0.00010000,0.00003829,0.00024700,0.000248636363636,cg,1,0,2,0.04971800,209,257,3076,,0
84,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04971816,210,258,3065,,0
85,0.00010000,0.00003798,0.00024500,0.000246623376623,cg,1,0,2,0.04971831,210,258,3055,,0
86,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04971800,210,258,3065,,0
87,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04971800,211,259,3065,,0
88,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04971800,212,260,3065,,0
89,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04971800,212,260,3065,,0
90,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04971800,212,260,3065,,0
91,0.00010000,0.00004183,0.00024600,0.000247514792899,bnb,2,0,1,,212,258,2854,,9.0E-7
92,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04971800,211,258,3065,,0
93,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04971800,211,258,3065,,0
94,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04971800,211,258,3065,,0
95,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04971800,211,258,3065,,0
96,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04971800,211,258,3065,,0
97,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04971800,213,260,3065,,0
98,0.00010000,0.00003813,0.00024600,0.000247597402597,cg,1,0,2,0.04971800,214,261,3065,,0
99,0.00010000,0.00003829,0.00024700,0.000248636363636,cg,1,0,2,0.04972063,214,261,3076,,0
100,0.00010000,0.00004200,0.00024700,0.000248520710059,bnb,2,0,1,,214,259,2866,,0.00000101
101,0.00010000,0.00003829,0.00024700,0.000248636363636,cg,1,0,2,0.04955972,214,260,3076,,0
