----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny-utxotargets
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty (10 sat/vB) | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Max Output Size | Mean Output Size | Std. Dev. of Output Size | Usage |
| bustabit-2019-2020-tiny-utxotargets | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | Total: **0** | 0 | 0 | 0 | 0 | 0 | 0 | 0E-66 | 0E-66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  |
| bustabit-2019-2020-tiny-utxotargets | 2.36056800 | 231.563181818 | 166 | 16 | 11833 | 10983 | 0 | 4625 | bnb: **6352** ; knapsack: **6** ; Total: **6358** | 0.00010020 | 0.48843733 | 0.00811991646270 | 0.0455033853054 | 0.89038717 | 0.0000810695775289 | 0.00112880000 | 0.89151597000 | 1 | 7 | 1.07739233361 | 0.362137228778 | 115 | 2.07629973596 | 3.94189334108 | bnb: **6352** ; knapsack: **675** ; cg: **3895** ; manual: **16** ; srd: **45** |
| bustabit-2019-2020-tiny-utxotargets | 3.40585452 | 231.692608696 | 185 | 16 | 12368 | 11483 | 0 | 4885 | bnb: **6592** ; knapsack: **6** ; Total: **6598** | 0.00010020 | 0.48843733 | 0.00845044797339 | 0.0460187689803 | 0.92397111 | 0.0000804642610816 | 0.00125800000 | 0.92522911000 | 1 | 7 | 1.07707045197 | 0.361536022539 | 115 | 2.07585125838 | 3.90028710052 | bnb: **6592** ; knapsack: **716** ; cg: **4112** ; manual: **17** ; srd: **46** |
| bustabit-2019-2020-tiny-utxotargets | 2.54105980 | 231.536083333 | 188 | 16 | 12890 | 11983 | 0 | 5085 | bnb: **6892** ; knapsack: **6** ; Total: **6898** | 0.00010020 | 0.48843733 | 0.00833097735103 | 0.0456832448160 | 0.97013515 | 0.0000809592881582 | 0.00127840000 | 0.97141355000 | 1 | 7 | 1.07569056163 | 0.359011218905 | 115 | 2.07460569140 | 3.91086744883 | bnb: **6892** ; knapsack: **752** ; cg: **4276** ; manual: **17** ; srd: **46** |
| bustabit-2019-2020-tiny-utxotargets | 2.40577840 | 231.597680000 | 193 | 17 | 13418 | 12482 | 0 | 5292 | bnb: **7184** ; knapsack: **6** ; Total: **7190** | 0.00010020 | 0.48843733 | 0.00816439809146 | 0.0450217619127 | 1.01769541 | 0.0000815330403781 | 0.00131240000 | 1.01900781000 | 1 | 7 | 1.07498798270 | 0.356227152935 | 115 | 2.07378625220 | 3.89515921012 | bnb: **7184** ; knapsack: **784** ; cg: **4447** ; manual: **17** ; srd: **50** |
| bustabit-2019-2020-tiny-utxotargets | 3.70251401 | 231.970846154 | 190 | 17 | 13951 | 12982 | 0 | 5531 | bnb: **7445** ; knapsack: **6** ; Total: **7451** | 0.00010020 | 0.48843733 | 0.00833517377147 | 0.0459717253754 | 1.05327366 | 0.0000811333893083 | 0.00129200000 | 1.05456566000 | 1 | 7 | 1.07464181174 | 0.353776339677 | 115 | 2.07263903867 | 3.85841099976 | bnb: **7445** ; knapsack: **820** ; cg: **4649** ; manual: **17** ; srd: **51** |
| bustabit-2019-2020-tiny-utxotargets | 2.94905546 | 232.222222222 | 185 | 17 | 14504 | 13482 | 0 | 5768 | bnb: **7708** ; knapsack: **6** ; Total: **7714** | 0.00010020 | 0.48843733 | 0.00843813015603 | 0.0466025197371 | 1.09266481 | 0.0000810461956683 | 0.00125800000 | 1.09392281000 | 1 | 7 | 1.07580477674 | 0.354956586554 | 115 | 2.07446966325 | 3.82164136125 | bnb: **7708** ; knapsack: **850** ; cg: **4852** ; manual: **17** ; srd: **55** |
| bustabit-2019-2020-tiny-utxotargets | 2.53590109 | 232.155285714 | 180 | 17 | 15046 | 13982 | 0 | 5957 | bnb: **8019** ; knapsack: **6** ; Total: **8025** | 0.00010020 | 0.49056373 | 0.00836164411784 | 0.0463887774749 | 1.14364597 | 0.0000817941617794 | 0.00122400000 | 1.14486997000 | 1 | 7 | 1.07609784008 | 0.353695673275 | 115 | 2.07330853955 | 3.82235395079 | bnb: **8019** ; knapsack: **869** ; cg: **5016** ; manual: **17** ; srd: **61** |
| bustabit-2019-2020-tiny-utxotargets | 1.68683044 | 232.504000000 | 139 | 17 | 15585 | 14482 | 0 | 6190 | bnb: **8286** ; knapsack: **6** ; Total: **8292** | 0.00010020 | 0.49056373 | 0.00812573025040 | 0.0455275114498 | 1.17760696 | 0.0000813152161304 | 0.000945200000 | 1.17855216000 | 1 | 7 | 1.07616351333 | 0.352268452981 | 115 | 2.07443723243 | 3.80586629234 | bnb: **8286** ; knapsack: **914** ; cg: **5200** ; manual: **18** ; srd: **64** |
| bustabit-2019-2020-tiny-utxotargets | 2.64705293 | 232.632400000 | 205 | 17 | 16132 | 14982 | 0 | 6430 | bnb: **8545** ; knapsack: **7** ; Total: **8552** | 0.00010020 | 0.49056373 | 0.00830016897978 | 0.0464964549962 | 1.21373972 | 0.0000810131971699 | 0.00139400000 | 1.21513372000 | 1 | 7 | 1.07675877720 | 0.353657442956 | 115 | 2.07575757576 | 3.78922878691 | bnb: **8545** ; knapsack: **954** ; cg: **5398** ; manual: **18** ; srd: **67** |
----END SIMULATION RESULTS----


